ID,Nama,Attack,Magic,Defense,Luck,HP,City,Price
1,Faerie Fire,0,0,0,0,70,2,70
2,Smoke Of Deceit,0,0,0,0,500,2,500
3,Small Shield Potion,0,0,0,0,5000,2,5000
4,Tolak Angin,0,0,0,0,10000,2,10000
5,Evil Eye,0,0,0 




2,Magic stick,0,2,0,0,0,1,20
3,Sword,10,0,0,0,0,1,9
4,Shield,0,0,5,0,0,1,15
5,ngentot,0,0,0,100,0,2,50
6,Ibuprofen,0,0,0,0,30,1,270
7,"Zinc Oxide",0,0,0,0,100,1,370
8,Lithium Carbonate,0,0,0,0,80,1,570
9,Diphenhydramine Hydrochloride,0,0,0,0,60,2,980
10,"Titanium Dioxide, Zinc Oxide",0,0,0,0,40,1,910
